,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,price_range
1984,497730,The Wardrobe,2017-02-15,1,C.I.N.I.C. Games,Gamera Interactive,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Adventure;Point & Click;Singleplayer,26,182,34,0,0,50000-100000,12.99,na
1985,497790,Ayumi: Enhanced Edition,2016-07-07,1,Lord Rutsah,Lord Rutsah,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure,Adventure;Horror;Space,9,8,1,0,0,0-20000,1.99,na
1986,498030,Barnyard Mahjong 3,2016-07-29,1,EnsenaSoft,EnsenaSoft,windows,0,Single-player;Steam Trading Cards,Casual,Casual;Puzzle,0,58,30,164,164,50000-100000,1.69,na
1987,498040,The Hidden Dragon,2016-07-26,1,EnsenaSoft,EnsenaSoft,windows,0,Single-player;Steam Trading Cards,Casual,Casual;Hidden Object,0,36,48,184,184,0-20000,2.09,na
1988,498240,Batman - The Telltale Series,2016-08-02,1,Telltale Games,Telltale Games,windows,0,Single-player;Steam Achievements;Full controller support,Adventure,Batman;Superhero;Story Rich,30,5729,1783,385,575,200000-500000,11.99,na
1989,498450,A Week of Circus Terror,2016-08-05,1,Richard Haraším,Richard Haraším,windows,0,Single-player,Indie,Indie;Horror;Point & Click,0,17,13,0,0,0-20000,3.99,na
1990,498510,DreamLand,2016-07-07,0,SandVUE,SANPACE,windows,0,Single-player,RPG,RPG;VR,0,36,26,0,0,20000-50000,0.0,na
1991,498990,Balloon Chair Death Match,2017-07-13,1,Climax Studios Ltd,Climax Studios Ltd,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Cloud,Action,Action;VR,14,41,13,0,0,0-20000,2.89,na
1992,499390,Pixeloids,2016-07-13,1,Kelint,Kelint,windows,0,Single-player;Full controller support,Indie,Indie,0,0,1,0,0,0-20000,2.79,na
1993,499400,The Path of Greatest Resistance,2017-02-17,1,RealityRig,RealityRig,windows,0,Single-player,Action,Action;VR,0,41,9,0,0,0-20000,2.79,na
1994,499520,The Turing Test,2016-08-30,1,Bulkhead Interactive,Square Enix,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure,Puzzle;First-Person;Space,15,3012,486,357,434,200000-500000,14.99,na
1995,499900,Pulse Shift,2016-08-29,1,3 Core Studio,3 Core Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie,Indie;Puzzle,21,8,4,0,0,0-20000,5.99,na
1996,500170,Urlaubsflug Simulator – Holiday Flight Simulator,2017-04-13,1,Caipirinha Games,SimWare Simulations,windows,0,Single-player;Partial Controller Support,Simulation,Simulation;Casual;Exploration,20,26,30,0,0,0-20000,11.75,na
1997,500190,Firefight,2016-07-11,1,Sean O'Connor,Sean O'Connor,windows,0,Single-player,Strategy,Strategy;World War II,0,37,12,0,0,0-20000,6.99,na
1998,500550,"Save the Universe, Please!",2016-08-31,1,Hodeaka Studio,Hodeaka Studio,windows,0,Single-player;Partial Controller Support,Adventure,Adventure;RPGMaker;Sci-fi,0,7,1,0,0,0-20000,1.99,na
1999,500580,Kitty Cat: Jigsaw Puzzles,2016-07-18,1,EnsenaSoft,EnsenaSoft,windows,0,Single-player;Steam Trading Cards,Casual,Cats;Casual;Puzzle,0,131,34,151,151,20000-50000,0.79,na
2000,500810,Arcanum: Of Steamworks and Magick Obscura,2016-08-29,1,Troika Games,Activision,windows,0,Single-player,RPG,RPG;Steampunk;Story Rich,0,522,76,0,0,100000-200000,4.99,na
2001,501080,Fishing: Barents Sea,2018-02-07,1,Misc Games,astragon Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Simulation,Simulation;Fishing;Open World,30,763,300,382,382,50000-100000,17.99,na
2002,501120,Clock Simulator,2016-07-20,1,Kool2Play,Kool2Play,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Indie,Indie;Family Friendly;Simulation,8,329,40,0,0,20000-50000,0.79,na
2003,501280,VirZOOM Gamepad Emulator,2016-07-29,1,VirZOOM,VirZOOM,windows,0,Steam Workshop;Partial Controller Support,Utilities,Utilities,0,1,0,0,0,0-20000,0.0,na
2004,501500,Black Moon Chronicles,2016-08-25,1,Cryo Interactive,Microids,windows,0,Single-player,Strategy,Strategy;RTS,0,9,0,0,0,0-20000,4.79,na
2005,501840,Don't Disturb,2016-09-01,1,Midnight Party,PQube Limited,windows;mac;linux,0,Single-player;Steam Trading Cards,Indie,Indie;Singleplayer;Puzzle,0,254,48,0,0,0-20000,2.69,na
2006,501970,Phantasmagoria 2: A Puzzle of Flesh,2016-08-29,1,Sierra,Activision,windows,0,Single-player,Adventure,Adventure;FMV;Horror,0,60,16,0,0,50000-100000,4.99,na
2007,501990,Phantasmagoria,2016-08-29,1,Sierra,Activision,windows,0,Single-player,Adventure,Adventure;FMV;Horror,0,127,22,20,20,50000-100000,7.99,na
2008,502150,Interstellar Logistics Inc,2016-08-15,1,Exalted Guy Interactive,None,windows,0,Single-player,Casual,Casual;Puzzle;Sci-fi,9,25,4,281,281,0-20000,2.09,na
2009,502200,Orczz,2016-11-17,1,Camel 101,Camel 101,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Strategy,Strategy;Tower Defense;Funny,19,8,7,372,372,0-20000,1.99,na
2010,502370,"Warhammer 40,000: Sanctus Reach",2017-01-19,1,Straylight Entertainment,Slitherine Ltd.,windows,0,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Warhammer 40K;Turn-Based,0,554,100,132,132,20000-50000,22.99,na
2011,502430,Roadworks - The Simulation,2016-11-30,1,VIS-Games,United Independent Entertainment GmbH,windows,0,Single-player;Steam Achievements,Simulation,Simulation,10,4,7,0,0,0-20000,6.99,na
2012,502450,Professional Construction - The Simulation,2016-08-26,1,VIS-Games,United Independent Entertainment GmbH,windows,0,Single-player;Steam Achievements,Simulation,Simulation,10,2,15,0,0,0-20000,10.99,na
2013,502750,Quest for Glory 1-5,2016-08-29,1,Sierra,Activision,windows,0,Single-player,Adventure,Adventure;1990's;1980s,0,141,11,4,7,50000-100000,7.99,na
2014,502800,SENRAN KAGURA ESTIVAL VERSUS,2017-03-17,1,Tamsoft,"XSEED Games;Marvelous USA, Inc.;Marvelous",windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Nudity;Sexual Content;Anime,50,2837,127,1993,1993,50000-100000,24.99,na
2015,502820,Batman™: Arkham VR,2017-04-25,1,Rocksteady Studios,Warner Bros. Interactive Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure,VR;Adventure;Batman,13,671,219,187,226,50000-100000,14.99,na
2016,503050,Heroes from the Past: Joan of Arc,2016-07-21,1,Green Sauce Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Match 3,0,3,0,0,0,0-20000,4.99,na
2017,503090,Fairy Maids,2016-07-19,1,Spark Plug Games,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Casual,Casual,0,1,3,0,0,0-20000,4.99,na
2018,503280,Marble Land,2017-12-06,1,Devious Technologies,Devious Technologies,windows,0,Single-player;Full controller support;Steam Trading Cards,Indie,Indie;Puzzle;Sci-fi,0,23,1,0,0,0-20000,11.39,na
2019,503460,Security Hole,2016-09-28,1,AnRaEl,AnRaEl,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Indie,Indie;Cyberpunk;Puzzle,88,128,8,0,0,0-20000,6.99,na
2020,503860,Patterna,2016-10-03,1,Sebastian Schöner,Sebastian Schöner,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Stats;Includes level editor,Indie,Puzzle;Indie;Great Soundtrack,52,30,2,0,0,0-20000,4.99,na
2021,504390,Along the Edge,2016-10-12,1,Nova-box,Nova-box,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie,Indie;Visual Novel;Choices Matter,28,216,17,0,0,0-20000,10.99,na
2022,504490,The God's Chain,2016-08-14,1,CRASS Studios,CRASS Infotech,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Action,Action;FPS;Third-Person Shooter,0,102,218,221,240,50000-100000,5.59,na
2023,504630,Broomball VR,2016-07-26,1,Rushil Reddy;Priyam Parikh;Ken Watanabe,Broomball Inc.,windows,0,Single-player,Adventure,Adventure;VR,0,28,14,0,0,20000-50000,0.0,na
2024,504750,Lew Pulsipher's Doomstar,2016-09-16,1,Large Visible Machine,Large Visible Machine,windows;mac;linux,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Turn Notifications,Strategy,Strategy;Board Game;Turn-Based,14,18,4,0,0,0-20000,6.99,na
2025,505070,Secrets of Me,2016-10-04,1,Dogenzaka Lab,Dogenzaka Lab,windows,18,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Adventure;Visual Novel;Otome,13,27,3,0,0,0-20000,11.99,na
2026,505080,Gakuen Club,2017-05-09,1,OperaHouse Corporation,Dogenzaka Lab,windows,16,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Adventure;Otome;Visual Novel,16,29,12,0,0,0-20000,22.99,na
2027,505090,The Charming Empire,2017-04-18,1,OperaHouse Corporation,Dogenzaka Lab,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Dating Sim;Adventure;Otome,14,33,18,0,0,0-20000,22.99,na
2028,505170,Carmageddon: Max Damage,2016-10-27,1,Stainless Games Ltd,THQ Nordic,windows,18,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Gore;Racing,30,1297,406,1360,1360,200000-500000,12.99,na
2029,506280,My Lil' Donut,2016-08-31,1,Isaac Cohen,Tool of North America,windows,0,Single-player,Simulation,Simulation;VR,0,31,5,0,0,0-20000,0.0,na
2030,507210,The Wire,2016-07-30,1,乐客游戏,乐客游戏,windows,0,Single-player,Casual,Casual;Simulation;VR,0,21,5,0,0,0-20000,0.0,na
2031,508250,Aussie Sports VR 2016,2019-03-05,1,Reload Labs,Reload Labs,windows,0,Single-player,Sports,Sports,0,1,0,0,0,0-20000,0.0,na
2032,508300,Strategy & Tactics: Dark Ages,2017-08-04,1,HeroCraft,HeroCraft,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Strategy,Medieval;Strategy;Board Game,56,99,58,10,10,20000-50000,14.99,na
2033,508330,GALER: Plague of Heroes,2017-05-05,1,Graham Dodge,Graham Dodge,windows,0,Single-player,RPG,RPG;RPGMaker;Fantasy,0,3,0,0,0,0-20000,5.59,na
